,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,2787,0,0,0,149,1,9,6,365
1,2845,1,1,1,225,1,45,2,355
2,4632,1,2,0,150,3,0,1,365
4,7192,1,4,1,80,10,9,1,0
10,7702,1,8,1,135,5,53,1,6
18,20950,0,15,1,99,3,53,1,21
19,17985,1,4,1,190,7,0,2,249
20,21207,0,12,1,299,3,9,1,0
22,22486,0,16,0,80,1,39,6,364
25,25326,0,17,0,60,1,19,2,85
26,26394,1,18,0,80,4,0,1,0
27,30193,1,7,1,150,10,58,1,75
38,45445,0,22,0,150,1,0,1,365
41,47610,0,10,1,120,3,15,1,345
42,47618,0,13,0,120,7,25,1,311
47,50148,0,6,1,110,7,61,1,265
48,50846,0,6,1,115,3,11,1,0
54,56284,1,26,1,200,7,19,1,257
56,59023,1,23,0,110,5,19,1,301
60,60252,0,12,0,80,2,42,1,263
64,63613,0,3,0,55,7,27,2,292
66,64056,0,16,1,225,3,4,1,0
71,66035,1,19,1,230,9,49,1,116
72,66243,1,7,0,51,7,23,1,88
73,68428,1,30,0,65,2,49,2,336
75,69829,1,19,1,190,5,21,1,224
80,72014,0,12,0,145,3,61,4,238
83,73469,0,22,1,130,6,16,1,38
85,74303,0,32,1,800,1,25,1,7
86,74857,0,12,1,105,3,61,1,272
88,76627,1,19,0,50,1,2,1,0
90,961342,0,21,0,65,4,24,1,317
92,51038,0,3,0,98,7,16,6,185
93,79070,0,29,1,250,7,21,1,158
97,82685,1,2,0,89,1,1,1,365
100,32294,1,2,0,60,3,11,3,219
103,93790,1,11,1,500,4,46,2,243
111,51038,0,3,0,125,2,19,6,250
112,112793,1,19,1,140,7,12,1,164
114,72062,1,19,1,350,2,7,4,298
115,115157,1,26,1,199,5,38,1,260
117,115560,1,8,1,235,6,27,1,199
121,119588,0,10,1,400,2,16,2,216
122,119900,1,8,1,170,7,13,1,224
123,120223,1,19,1,100,4,25,1,0
124,65091,0,24,0,75,2,9,1,324
125,6197784,0,12,0,90,1,9,1,245
126,124352,1,28,1,150,5,21,1,189
128,35935,0,6,0,70,3,63,2,310
133,120335,1,23,1,105,3,32,1,16
134,117287,1,7,0,130,2,50,3,234
136,137292,0,35,0,77,2,2,1,178
141,139612,0,12,1,199,3,10,1,280
142,139874,0,36,1,140,2,4,1,0
143,140025,2,37,0,140,2,1,1,1
145,142833,0,12,1,160,3,11,1,188
147,143048,1,19,1,195,3,30,1,248
149,149929,0,13,0,44,8,27,5,280
154,157798,1,4,0,69,2,34,1,10
156,159370,0,12,1,125,6,27,1,189
158,165789,0,38,1,475,3,23,1,230
163,171851,0,40,0,250,3,14,1,189
164,174025,1,28,1,250,3,4,1,365
166,181167,1,2,1,80,3,2,1,0
170,177536,0,21,0,50,2,47,1,37
179,202249,1,2,1,100,2,18,1,0
181,204539,2,44,1,350,8,10,5,365
183,204724,0,12,1,200,4,33,1,1
184,8198,0,16,1,150,5,52,1,18
186,210746,0,29,0,120,3,51,3,250
189,214287,1,14,1,125,3,3,1,0
190,218404,1,7,1,275,1,41,1,299
196,27848,2,46,0,55,2,52,2,365
197,240360,1,7,1,195,5,10,1,0
198,247432,0,6,0,80,2,11,1,0
200,204539,2,44,0,140,7,6,5,365
201,204539,2,47,1,265,7,38,5,365
203,255583,1,7,2,105,6,10,1,363
210,262138,0,6,0,71,2,23,1,91
214,264928,0,13,0,68,3,37,1,0
218,272006,2,49,1,140,2,17,1,292
222,275459,1,19,1,239,3,7,1,351
226,277394,0,17,0,135,2,21,1,272
227,279797,1,51,0,120,7,17,1,341
228,282927,1,23,1,150,3,41,1,244
231,186084,1,9,1,250,4,18,2,265
234,99212,1,52,1,225,5,10,1,91
237,249372,1,2,0,175,2,1,1,365
239,293394,1,8,1,195,4,4,1,0
241,295760,1,53,1,135,2,21,1,0
242,291112,1,14,1,500,2,35,1,348
253,306605,1,14,1,205,9,62,2,76
258,308652,0,0,0,39,1,45,2,365
260,295128,4,57,0,90,2,0,7,349
264,311286,0,6,0,70,3,36,4,281
265,312288,1,18,0,75,7,0,2,323
267,146944,1,19,1,200,3,0,1,0
269,311286,0,6,0,70,4,18,4,189
270,314256,0,15,0,110,6,50,1,0
275,319092,0,6,0,75,5,64,1,68
276,320422,0,12,0,60,3,0,1,0
277,320450,1,19,1,129,7,5,1,231
278,320761,0,12,1,130,10,49,1,152
280,321756,1,2,0,75,3,20,1,364
281,321934,0,16,1,175,2,11,1,246
282,322884,0,33,1,190,3,51,1,288
286,325389,0,12,1,140,2,9,1,254
296,342054,1,8,1,195,11,30,1,249
298,343250,0,20,0,125,3,6,1,325
301,155689,0,21,0,70,5,47,1,203
303,354330,1,19,0,65,3,52,1,5
304,72062,1,19,1,500,2,48,4,297
305,361855,1,30,1,250,3,32,2,276
308,365153,0,20,1,229,1,50,1,188
311,340692,0,20,0,59,3,29,1,15
312,211877,0,12,1,195,4,59,1,71
317,394752,0,20,0,55,2,1,1,0
322,134355,1,7,0,150,3,36,1,49
323,422561,0,38,1,135,4,6,1,0
324,425506,0,3,1,350,6,14,1,156
334,451545,0,6,1,185,3,46,1,248
338,410094,1,19,1,225,2,33,1,0
340,459054,0,15,1,150,5,5,1,0
345,116599,0,3,1,650,5,0,3,365
348,35375,2,56,0,80,1,42,2,365
352,509341,0,12,1,140,7,13,1,0
353,509918,0,6,1,200,5,4,1,9
354,116599,0,3,0,165,4,11,3,365
355,31374,1,26,1,125,4,1,3,181
360,526653,2,61,0,50,1,43,1,88
362,530032,0,12,0,100,3,31,1,0
372,3088389,1,8,1,120,5,49,1,201
374,572527,0,15,1,165,7,3,1,157
375,573316,1,2,0,90,1,1,1,0
376,571952,1,28,1,225,2,56,1,312
381,314941,1,23,1,211,1,52,3,361
382,582598,1,1,1,145,6,39,1,0
385,585166,2,56,1,110,4,30,1,363
389,585458,1,14,0,290,2,35,1,20
390,599354,1,19,0,87,2,0,1,0
391,138069,0,12,1,190,4,50,1,331
392,262812,0,12,1,200,2,29,1,36
393,611716,0,16,1,165,2,23,2,7
396,622855,0,6,0,99,2,38,2,307
399,620288,1,8,0,85,1,3,1,0
403,85330,2,63,1,97,3,28,3,209
404,651390,1,11,1,170,4,24,1,0
405,507186,0,12,1,125,2,15,1,0
407,652842,0,12,1,225,10,22,1,52
410,665013,1,14,1,132,4,10,1,0
411,663384,0,16,1,250,7,18,1,18
412,674970,0,20,1,141,5,8,1,9
418,687361,0,16,1,495,1,35,1,355
419,689661,1,64,1,375,3,18,1,0
421,277747,1,19,1,150,4,22,1,0
422,616825,1,2,1,259,8,17,1,343
423,299755,1,19,0,96,1,34,1,0
424,404424,0,12,1,145,7,8,1,0
425,703156,1,14,1,200,4,0,1,0
426,706418,1,8,1,95,5,2,1,0
427,709434,0,17,1,250,4,52,1,188
429,715807,1,52,1,175,3,18,1,0
432,720320,1,28,1,250,4,0,1,0
434,726333,1,23,1,250,4,19,1,0
436,216191,0,12,0,98,2,8,4,0
437,731855,0,16,1,150,2,0,1,8
438,731904,1,19,0,95,7,25,1,359
444,745069,1,2,0,75,3,38,3,365
447,758441,0,6,0,165,1,27,4,311
449,759583,0,3,0,75,3,43,2,365
450,762563,0,20,1,130,5,4,1,0
452,54275,0,6,0,88,1,64,3,238
453,54275,0,6,0,80,1,39,3,218
454,759883,1,14,0,150,2,37,1,0
455,769247,1,8,1,200,3,10,1,0
458,772300,0,12,0,90,6,3,1,0
460,776490,0,12,1,450,5,37,1,15
461,776645,0,15,1,130,2,29,1,119
463,781647,1,2,1,198,5,42,2,234
466,69439,1,27,0,140,2,54,1,221
467,787273,0,33,1,500,7,7,1,0
468,867225,1,45,0,75,5,57,2,201
472,793620,1,30,0,75,2,34,1,222
473,795640,0,33,1,350,5,6,1,0
474,306605,1,14,1,205,9,3,2,76
475,795889,0,16,1,219,5,2,1,0
476,22486,0,16,0,60,1,20,6,258
480,803086,1,4,1,250,2,11,2,68
482,805344,1,2,0,65,2,41,2,59
486,807642,0,67,1,106,7,0,2,0
487,812814,1,4,1,79,2,15,1,0
488,67778,0,13,0,85,2,35,2,161
489,803086,1,2,0,170,2,17,2,88
490,302772,1,23,0,115,3,3,2,337
491,781647,1,2,0,89,5,43,2,247
495,833926,0,21,1,150,2,11,1,0
497,842125,0,15,1,97,3,31,1,193
498,844862,1,19,0,100,4,49,2,43
499,846309,0,12,1,179,4,23,1,25
500,848748,0,20,1,500,2,20,2,127
501,848960,1,14,1,429,10,18,1,0
504,314941,1,64,1,300,1,6,3,115
515,904833,1,14,1,250,1,2,1,0
516,906200,0,12,1,350,6,1,1,233
518,909234,1,19,1,165,1,63,1,0
520,912541,1,14,0,255,4,1,1,365
523,918866,1,28,1,169,7,39,1,44
524,920542,0,6,1,160,3,42,1,355
525,922922,0,29,1,215,3,33,1,156
531,48599,1,14,1,149,6,23,2,0
532,936830,1,8,0,89,6,35,1,180
536,304493,0,12,0,85,1,46,1,59
539,953565,0,16,1,265,5,15,1,0
543,971075,1,2,0,75,3,50,2,38
545,933378,1,28,2,90,1,0,1,0
549,1000477,1,28,1,190,1,8,1,0
550,51038,0,3,1,248,2,58,6,199
551,903686,0,12,0,100,6,8,1,249
555,1011426,0,21,0,41,2,55,1,286
558,1014639,0,13,1,157,2,4,1,0
561,1024355,0,12,1,185,3,14,1,0
562,1029021,0,6,1,145,3,30,3,11
565,272730,1,19,1,250,1,60,1,0
568,1096084,0,34,1,100,7,9,1,0
569,293130,0,21,0,40,1,1,1,5
571,1109658,3,74,0,80,2,2,1,158
574,1114587,1,8,1,300,2,45,3,31
576,1129218,1,2,0,80,7,19,1,285
577,447754,0,76,1,110,1,24,1,183
578,759583,0,3,1,172,4,8,2,189
579,1138692,1,23,1,199,1,29,2,162
580,1138692,1,23,1,199,1,14,2,158
581,1139574,1,2,0,100,1,33,1,84
583,918087,0,6,0,75,3,59,3,0
585,846050,1,48,0,250,2,0,1,0
588,22486,0,16,0,120,2,23,6,342
589,1153993,1,14,1,199,4,32,1,28
590,1164642,0,29,1,150,5,24,1,363
591,1165231,1,2,0,69,1,59,2,86
593,991380,0,38,1,230,4,18,1,0
594,1173599,1,1,1,125,4,3,1,0
603,1192424,1,11,1,225,3,13,1,83
605,1194377,0,6,1,100,7,63,1,321
606,1190088,1,7,0,130,2,52,1,303
608,507304,0,79,1,200,5,1,1,0
609,1203500,0,6,1,80,2,35,1,36
613,1184442,1,27,0,270,5,1,1,210
617,1012895,2,44,0,55,1,19,1,311
618,1223568,1,1,0,110,2,61,1,264
621,1234405,0,10,1,300,1,40,1,0
626,4166168,0,40,1,350,5,40,1,67
627,1151987,1,19,1,160,4,0,1,0
630,65064,1,9,1,300,7,2,1,0
632,1257309,1,23,1,100,5,8,1,0
633,1257760,1,68,1,399,1,0,1,12
638,1264655,0,6,1,110,6,8,1,4
639,1269455,1,11,1,200,2,37,1,257
641,1273825,0,12,1,137,1,24,1,0
642,1276497,0,6,1,280,3,5,1,365
647,825022,1,14,1,226,5,34,1,302
648,283604,0,15,0,85,3,5,1,281
649,1292250,1,68,1,135,1,5,1,0
650,3647,2,81,1,79,4,60,2,297
654,1306587,1,11,1,246,4,6,1,0
656,758441,0,6,0,100,1,7,4,281
658,945499,0,15,0,150,3,0,1,0
659,1311870,1,9,1,119,1,49,1,0
660,1313306,1,2,0,125,1,11,2,365
661,1313306,1,2,1,400,5,0,2,365
666,1325961,1,4,1,200,3,49,2,0
671,1331493,0,82,0,69,1,2,1,303
672,1331850,1,8,1,185,2,16,1,261
683,1267021,2,83,0,54,5,56,3,365
685,1336542,0,3,1,110,1,2,1,0
689,506779,1,64,1,495,7,25,2,338
691,1347034,1,14,1,760,2,7,1,361
698,1233267,2,85,0,75,4,20,1,0
699,436599,1,11,1,325,4,46,1,20
702,1360198,3,86,1,250,2,21,4,333
703,1360198,3,86,0,50,7,0,4,189
704,1360198,3,86,1,125,2,8,4,353
705,52335,0,13,1,70,7,4,2,0
707,696482,0,6,1,130,3,18,1,1
708,1370358,1,11,1,145,7,11,1,0
709,568103,1,43,0,101,7,51,1,307
710,1372786,1,14,0,95,5,20,1,0
711,1359519,1,11,1,375,7,8,1,0
713,1376778,0,54,1,92,4,54,1,27
714,535128,1,23,0,80,5,10,1,348
718,1381171,1,2,1,155,1,1,1,5
723,21188,0,15,0,99,2,20,1,98
725,1390947,1,71,1,200,5,8,1,0
726,1392440,1,28,1,485,7,11,1,0
727,1394190,1,64,1,310,5,5,1,89
728,1394719,0,12,1,110,4,0,1,354
732,1397061,1,14,1,220,4,0,1,0
736,1402454,2,87,0,55,1,38,1,0
737,1402951,4,88,0,50,2,15,1,337
738,164675,0,0,0,60,2,20,1,347
739,661399,1,4,0,99,3,25,2,127
740,1406773,1,2,1,130,2,35,1,41
742,1408733,1,14,1,350,3,64,1,18
743,1410714,0,15,0,50,3,26,1,158
747,1398639,0,6,0,34,10,16,3,216
748,1415590,1,19,1,250,3,24,1,16
749,1315849,0,12,0,190,1,30,2,365
750,1315849,0,12,0,75,2,5,2,365
752,1417166,0,6,0,60,5,9,2,33
753,1417166,0,6,0,65,5,45,2,0
755,1362808,1,28,1,300,3,5,1,27
758,1195295,1,19,1,299,3,49,1,365
759,511993,0,20,0,60,4,6,1,303
760,1402817,0,13,1,88,5,7,1,0
761,1427381,0,12,0,60,2,35,2,161
762,605463,1,11,1,1300,5,28,4,297
763,1429642,1,4,0,200,6,0,1,0
764,1433395,1,2,0,99,2,54,1,50
766,1434931,0,3,1,135,5,6,1,317
